Statistic Label,Month,Age Group,Sex,UNIT,VALUE
Seasonally Adjusted Monthly Unemployment,1998 January,15 - 24 years,Both sexes,Thousand,55.3
Seasonally Adjusted Monthly Unemployment,1998 January,15 - 24 years,Male,Thousand,31.3
Seasonally Adjusted Monthly Unemployment,1998 January,15 - 24 years,Female,Thousand,24
Seasonally Adjusted Monthly Unemployment,1998 January,15 - 74 years,Both sexes,Thousand,150.9
Seasonally Adjusted Monthly Unemployment,1998 January,15 - 74 years,Male,Thousand,86.3
Seasonally Adjusted Monthly Unemployment,1998 January,15 - 74 years,Female,Thousand,64.6
Seasonally Adjusted Monthly Unemployment,1998 January,25 - 74 years,Both sexes,Thousand,95.6
Seasonally Adjusted Monthly Unemployment,1998 January,25 - 74 years,Male,Thousand,55
Seasonally Adjusted Monthly Unemployment,1998 January,25 - 74 years,Female,Thousand,40.6
Seasonally Adjusted Monthly Unemployment,1998 February,15 - 24 years,Both sexes,Thousand,54.1
Seasonally Adjusted Monthly Unemployment,1998 February,15 - 24 years,Male,Thousand,30.8
Seasonally Adjusted Monthly Unemployment,1998 February,15 - 24 years,Female,Thousand,23.3
Seasonally Adjusted Monthly Unemployment,1998 February,15 - 74 years,Both sexes,Thousand,153
Seasonally Adjusted Monthly Unemployment,1998 February,15 - 74 years,Male,Thousand,87.7
Seasonally Adjusted Monthly Unemployment,1998 February,15 - 74 years,Female,Thousand,65.3
Seasonally Adjusted Monthly Unemployment,1998 February,25 - 74 years,Both sexes,Thousand,98.9
Seasonally Adjusted Monthly Unemployment,1998 February,25 - 74 years,Male,Thousand,56.9
Seasonally Adjusted Monthly Unemployment,1998 February,25 - 74 years,Female,Thousand,42
Seasonally Adjusted Monthly Unemployment,1998 March,15 - 24 years,Both sexes,Thousand,52.1
Seasonally Adjusted Monthly Unemployment,1998 March,15 - 24 years,Male,Thousand,29.6
Seasonally Adjusted Monthly Unemployment,1998 March,15 - 24 years,Female,Thousand,22.5
Seasonally Adjusted Monthly Unemployment,1998 March,15 - 74 years,Both sexes,Thousand,149.8
Seasonally Adjusted Monthly Unemployment,1998 March,15 - 74 years,Male,Thousand,86
Seasonally Adjusted Monthly Unemployment,1998 March,15 - 74 years,Female,Thousand,63.8
Seasonally Adjusted Monthly Unemployment,1998 March,25 - 74 years,Both sexes,Thousand,97.8
Seasonally Adjusted Monthly Unemployment,1998 March,25 - 74 years,Male,Thousand,56.4
Seasonally Adjusted Monthly Unemployment,1998 March,25 - 74 years,Female,Thousand,41.4
Seasonally Adjusted Monthly Unemployment,1998 April,15 - 24 years,Both sexes,Thousand,48.1
Seasonally Adjusted Monthly Unemployment,1998 April,15 - 24 years,Male,Thousand,27.1
Seasonally Adjusted Monthly Unemployment,1998 April,15 - 24 years,Female,Thousand,21
Seasonally Adjusted Monthly Unemployment,1998 April,15 - 74 years,Both sexes,Thousand,140.5
Seasonally Adjusted Monthly Unemployment,1998 April,15 - 74 years,Male,Thousand,81.2
Seasonally Adjusted Monthly Unemployment,1998 April,15 - 74 years,Female,Thousand,59.2
Seasonally Adjusted Monthly Unemployment,1998 April,25 - 74 years,Both sexes,Thousand,92.3
Seasonally Adjusted Monthly Unemployment,1998 April,25 - 74 years,Male,Thousand,54.1
Seasonally Adjusted Monthly Unemployment,1998 April,25 - 74 years,Female,Thousand,38.3
Seasonally Adjusted Monthly Unemployment,1998 May,15 - 24 years,Both sexes,Thousand,45.5
Seasonally Adjusted Monthly Unemployment,1998 May,15 - 24 years,Male,Thousand,25.8
Seasonally Adjusted Monthly Unemployment,1998 May,15 - 24 years,Female,Thousand,19.7
Seasonally Adjusted Monthly Unemployment,1998 May,15 - 74 years,Both sexes,Thousand,134.6
Seasonally Adjusted Monthly Unemployment,1998 May,15 - 74 years,Male,Thousand,78.6
Seasonally Adjusted Monthly Unemployment,1998 May,15 - 74 years,Female,Thousand,56
Seasonally Adjusted Monthly Unemployment,1998 May,25 - 74 years,Both sexes,Thousand,89.1
Seasonally Adjusted Monthly Unemployment,1998 May,25 - 74 years,Male,Thousand,52.8
Seasonally Adjusted Monthly Unemployment,1998 May,25 - 74 years,Female,Thousand,36.3
Seasonally Adjusted Monthly Unemployment,1998 June,15 - 24 years,Both sexes,Thousand,43.8
Seasonally Adjusted Monthly Unemployment,1998 June,15 - 24 years,Male,Thousand,25.2
Seasonally Adjusted Monthly Unemployment,1998 June,15 - 24 years,Female,Thousand,18.6
Seasonally Adjusted Monthly Unemployment,1998 June,15 - 74 years,Both sexes,Thousand,130
Seasonally Adjusted Monthly Unemployment,1998 June,15 - 74 years,Male,Thousand,76.6
Seasonally Adjusted Monthly Unemployment,1998 June,15 - 74 years,Female,Thousand,53.4
Seasonally Adjusted Monthly Unemployment,1998 June,25 - 74 years,Both sexes,Thousand,86.2
Seasonally Adjusted Monthly Unemployment,1998 June,25 - 74 years,Male,Thousand,51.4
Seasonally Adjusted Monthly Unemployment,1998 June,25 - 74 years,Female,Thousand,34.8
Seasonally Adjusted Monthly Unemployment,1998 July,15 - 24 years,Both sexes,Thousand,42.1
Seasonally Adjusted Monthly Unemployment,1998 July,15 - 24 years,Male,Thousand,24.5
Seasonally Adjusted Monthly Unemployment,1998 July,15 - 24 years,Female,Thousand,17.6
Seasonally Adjusted Monthly Unemployment,1998 July,15 - 74 years,Both sexes,Thousand,127.7
Seasonally Adjusted Monthly Unemployment,1998 July,15 - 74 years,Male,Thousand,75.4
Seasonally Adjusted Monthly Unemployment,1998 July,15 - 74 years,Female,Thousand,52.3
Seasonally Adjusted Monthly Unemployment,1998 July,25 - 74 years,Both sexes,Thousand,85.6
Seasonally Adjusted Monthly Unemployment,1998 July,25 - 74 years,Male,Thousand,50.9
Seasonally Adjusted Monthly Unemployment,1998 July,25 - 74 years,Female,Thousand,34.7
Seasonally Adjusted Monthly Unemployment,1998 August,15 - 24 years,Both sexes,Thousand,41.1
Seasonally Adjusted Monthly Unemployment,1998 August,15 - 24 years,Male,Thousand,24.1
Seasonally Adjusted Monthly Unemployment,1998 August,15 - 24 years,Female,Thousand,17
Seasonally Adjusted Monthly Unemployment,1998 August,15 - 74 years,Both sexes,Thousand,124.4
Seasonally Adjusted Monthly Unemployment,1998 August,15 - 74 years,Male,Thousand,73.6
Seasonally Adjusted Monthly Unemployment,1998 August,15 - 74 years,Female,Thousand,50.8
Seasonally Adjusted Monthly Unemployment,1998 August,25 - 74 years,Both sexes,Thousand,83.3
Seasonally Adjusted Monthly Unemployment,1998 August,25 - 74 years,Male,Thousand,49.4
Seasonally Adjusted Monthly Unemployment,1998 August,25 - 74 years,Female,Thousand,33.8
Seasonally Adjusted Monthly Unemployment,1998 September,15 - 24 years,Both sexes,Thousand,41.4
Seasonally Adjusted Monthly Unemployment,1998 September,15 - 24 years,Male,Thousand,24.1
Seasonally Adjusted Monthly Unemployment,1998 September,15 - 24 years,Female,Thousand,17.3
Seasonally Adjusted Monthly Unemployment,1998 September,15 - 74 years,Both sexes,Thousand,123.5
Seasonally Adjusted Monthly Unemployment,1998 September,15 - 74 years,Male,Thousand,72.6
Seasonally Adjusted Monthly Unemployment,1998 September,15 - 74 years,Female,Thousand,50.9
Seasonally Adjusted Monthly Unemployment,1998 September,25 - 74 years,Both sexes,Thousand,82.1
Seasonally Adjusted Monthly Unemployment,1998 September,25 - 74 years,Male,Thousand,48.5
Seasonally Adjusted Monthly Unemployment,1998 September,25 - 74 years,Female,Thousand,33.6
Seasonally Adjusted Monthly Unemployment,1998 October,15 - 24 years,Both sexes,Thousand,40.9
Seasonally Adjusted Monthly Unemployment,1998 October,15 - 24 years,Male,Thousand,23.4
Seasonally Adjusted Monthly Unemployment,1998 October,15 - 24 years,Female,Thousand,17.5
Seasonally Adjusted Monthly Unemployment,1998 October,15 - 74 years,Both sexes,Thousand,118.4
Seasonally Adjusted Monthly Unemployment,1998 October,15 - 74 years,Male,Thousand,69.2
Seasonally Adjusted Monthly Unemployment,1998 October,15 - 74 years,Female,Thousand,49.2
Seasonally Adjusted Monthly Unemployment,1998 October,25 - 74 years,Both sexes,Thousand,77.5
Seasonally Adjusted Monthly Unemployment,1998 October,25 - 74 years,Male,Thousand,45.8
Seasonally Adjusted Monthly Unemployment,1998 October,25 - 74 years,Female,Thousand,31.7
Seasonally Adjusted Monthly Unemployment,1998 November,15 - 24 years,Both sexes,Thousand,40.4
Seasonally Adjusted Monthly Unemployment,1998 November,15 - 24 years,Male,Thousand,22.7
Seasonally Adjusted Monthly Unemployment,1998 November,15 - 24 years,Female,Thousand,17.7
Seasonally Adjusted Monthly Unemployment,1998 November,15 - 74 years,Both sexes,Thousand,114.5
Seasonally Adjusted Monthly Unemployment,1998 November,15 - 74 years,Male,Thousand,66.3
Seasonally Adjusted Monthly Unemployment,1998 November,15 - 74 years,Female,Thousand,48.1
Seasonally Adjusted Monthly Unemployment,1998 November,25 - 74 years,Both sexes,Thousand,74.1
Seasonally Adjusted Monthly Unemployment,1998 November,25 - 74 years,Male,Thousand,43.6
Seasonally Adjusted Monthly Unemployment,1998 November,25 - 74 years,Female,Thousand,30.5
Seasonally Adjusted Monthly Unemployment,1998 December,15 - 24 years,Both sexes,Thousand,40.9
Seasonally Adjusted Monthly Unemployment,1998 December,15 - 24 years,Male,Thousand,22.9
Seasonally Adjusted Monthly Unemployment,1998 December,15 - 24 years,Female,Thousand,18
Seasonally Adjusted Monthly Unemployment,1998 December,15 - 74 years,Both sexes,Thousand,113.7
Seasonally Adjusted Monthly Unemployment,1998 December,15 - 74 years,Male,Thousand,65.5
Seasonally Adjusted Monthly Unemployment,1998 December,15 - 74 years,Female,Thousand,48.2
Seasonally Adjusted Monthly Unemployment,1998 December,25 - 74 years,Both sexes,Thousand,72.8
Seasonally Adjusted Monthly Unemployment,1998 December,25 - 74 years,Male,Thousand,42.6
Seasonally Adjusted Monthly Unemployment,1998 December,25 - 74 years,Female,Thousand,30.2
Seasonally Adjusted Monthly Unemployment,1999 January,15 - 24 years,Both sexes,Thousand,40
Seasonally Adjusted Monthly Unemployment,1999 January,15 - 24 years,Male,Thousand,22.7
Seasonally Adjusted Monthly Unemployment,1999 January,15 - 24 years,Female,Thousand,17.3
Seasonally Adjusted Monthly Unemployment,1999 January,15 - 74 years,Both sexes,Thousand,112.5
Seasonally Adjusted Monthly Unemployment,1999 January,15 - 74 years,Male,Thousand,64.8
Seasonally Adjusted Monthly Unemployment,1999 January,15 - 74 years,Female,Thousand,47.7
Seasonally Adjusted Monthly Unemployment,1999 January,25 - 74 years,Both sexes,Thousand,72.5
Seasonally Adjusted Monthly Unemployment,1999 January,25 - 74 years,Male,Thousand,42.1
Seasonally Adjusted Monthly Unemployment,1999 January,25 - 74 years,Female,Thousand,30.3
Seasonally Adjusted Monthly Unemployment,1999 February,15 - 24 years,Both sexes,Thousand,39.2
Seasonally Adjusted Monthly Unemployment,1999 February,15 - 24 years,Male,Thousand,22.5
Seasonally Adjusted Monthly Unemployment,1999 February,15 - 24 years,Female,Thousand,16.7
Seasonally Adjusted Monthly Unemployment,1999 February,15 - 74 years,Both sexes,Thousand,110.4
Seasonally Adjusted Monthly Unemployment,1999 February,15 - 74 years,Male,Thousand,63.9
Seasonally Adjusted Monthly Unemployment,1999 February,15 - 74 years,Female,Thousand,46.5
Seasonally Adjusted Monthly Unemployment,1999 February,25 - 74 years,Both sexes,Thousand,71.2
Seasonally Adjusted Monthly Unemployment,1999 February,25 - 74 years,Male,Thousand,41.5
Seasonally Adjusted Monthly Unemployment,1999 February,25 - 74 years,Female,Thousand,29.7
Seasonally Adjusted Monthly Unemployment,1999 March,15 - 24 years,Both sexes,Thousand,38.9
Seasonally Adjusted Monthly Unemployment,1999 March,15 - 24 years,Male,Thousand,22.2
Seasonally Adjusted Monthly Unemployment,1999 March,15 - 24 years,Female,Thousand,16.7
Seasonally Adjusted Monthly Unemployment,1999 March,15 - 74 years,Both sexes,Thousand,109.9
Seasonally Adjusted Monthly Unemployment,1999 March,15 - 74 years,Male,Thousand,63.5
Seasonally Adjusted Monthly Unemployment,1999 March,15 - 74 years,Female,Thousand,46.4
Seasonally Adjusted Monthly Unemployment,1999 March,25 - 74 years,Both sexes,Thousand,71
Seasonally Adjusted Monthly Unemployment,1999 March,25 - 74 years,Male,Thousand,41.3
Seasonally Adjusted Monthly Unemployment,1999 March,25 - 74 years,Female,Thousand,29.7
Seasonally Adjusted Monthly Unemployment,1999 April,15 - 24 years,Both sexes,Thousand,38.3
Seasonally Adjusted Monthly Unemployment,1999 April,15 - 24 years,Male,Thousand,22
Seasonally Adjusted Monthly Unemployment,1999 April,15 - 24 years,Female,Thousand,16.3
Seasonally Adjusted Monthly Unemployment,1999 April,15 - 74 years,Both sexes,Thousand,109
Seasonally Adjusted Monthly Unemployment,1999 April,15 - 74 years,Male,Thousand,63.4
Seasonally Adjusted Monthly Unemployment,1999 April,15 - 74 years,Female,Thousand,45.6
Seasonally Adjusted Monthly Unemployment,1999 April,25 - 74 years,Both sexes,Thousand,70.7
Seasonally Adjusted Monthly Unemployment,1999 April,25 - 74 years,Male,Thousand,41.4
Seasonally Adjusted Monthly Unemployment,1999 April,25 - 74 years,Female,Thousand,29.3
Seasonally Adjusted Monthly Unemployment,1999 May,15 - 24 years,Both sexes,Thousand,38
Seasonally Adjusted Monthly Unemployment,1999 May,15 - 24 years,Male,Thousand,21.6
Seasonally Adjusted Monthly Unemployment,1999 May,15 - 24 years,Female,Thousand,16.4
Seasonally Adjusted Monthly Unemployment,1999 May,15 - 74 years,Both sexes,Thousand,109
Seasonally Adjusted Monthly Unemployment,1999 May,15 - 74 years,Male,Thousand,63.1
Seasonally Adjusted Monthly Unemployment,1999 May,15 - 74 years,Female,Thousand,45.9
Seasonally Adjusted Monthly Unemployment,1999 May,25 - 74 years,Both sexes,Thousand,71
Seasonally Adjusted Monthly Unemployment,1999 May,25 - 74 years,Male,Thousand,41.5
Seasonally Adjusted Monthly Unemployment,1999 May,25 - 74 years,Female,Thousand,29.5
Seasonally Adjusted Monthly Unemployment,1999 June,15 - 24 years,Both sexes,Thousand,36.5
Seasonally Adjusted Monthly Unemployment,1999 June,15 - 24 years,Male,Thousand,20.7
Seasonally Adjusted Monthly Unemployment,1999 June,15 - 24 years,Female,Thousand,15.9
Seasonally Adjusted Monthly Unemployment,1999 June,15 - 74 years,Both sexes,Thousand,104.6
Seasonally Adjusted Monthly Unemployment,1999 June,15 - 74 years,Male,Thousand,60.5
Seasonally Adjusted Monthly Unemployment,1999 June,15 - 74 years,Female,Thousand,44.1
Seasonally Adjusted Monthly Unemployment,1999 June,25 - 74 years,Both sexes,Thousand,68.1
Seasonally Adjusted Monthly Unemployment,1999 June,25 - 74 years,Male,Thousand,39.9
Seasonally Adjusted Monthly Unemployment,1999 June,25 - 74 years,Female,Thousand,28.2
Seasonally Adjusted Monthly Unemployment,1999 July,15 - 24 years,Both sexes,Thousand,35.2
Seasonally Adjusted Monthly Unemployment,1999 July,15 - 24 years,Male,Thousand,19.7
